NUMBER X_IMAGE Y_IMAGE mean med std sky
15541 1218.9075 2554.3479 893.948715275043 893.6969332226693 3.947359904650613 884.5840792844772
15605 1951.2766 2549.6548 892.4316353654483 892.3473313543553 2.4915671808768147 884.8978002781027
15684 1881.8368 2531.9482 1018.9465159204839 1013.8382354697575 30.25341034167389 884.9519247639544
15705 1069.3336 2518.0242 1360.128925726043 1353.0262180740274 179.4596435462384 885.0433476040157
15739 1971.1545 2531.2065 908.1082962505811 906.5743896356311 8.007629959282658 884.8640406568297
15757 1008.8286 2529.7522 898.938543499164 898.0247595400875 6.76554528967453 885.8390776281548
15767 838.7173 2530.842 899.5231579591057 898.3924069133951 5.631358132849236 884.3509844250073
15940 1035.8015 2514.8115 895.0633136291694 894.7598876452339 4.948817744679731 886.1183698532996
15991 611.3099 2510.5393 895.8934546394476 896.5883961349311 5.610528957219056 885.6873017753124
16043 1898.9308 2504.7349 898.4131250762425 898.1714569713995 3.6505292589938936 886.1168571769169
16044 1909.6105 2496.0696 935.7537681989081 936.5055586854901 12.010118596331434 884.8878020969566
16104 1195.2046 2493.4031 918.456292667245 917.1802425175874 10.400242759014215 884.7177315370819
16170 1712.8558 2481.7866 972.3958464945275 971.0295256014965 25.45551405846121 884.9366590922546
16567 1764.671 2425.3845 984.6362580756934 976.186954063041 38.74492699209284 884.5466404503826
16569 1767.0017 2448.4153 948.7001371430213 944.57277554557 15.429865975271351 886.1482413290105
16623 1655.0708 2449.2263 893.9252153869046 893.9471248116998 4.55879571472935 885.4168536558589
16726 1667.5159 2435.8845 911.0682243081056 907.5612823883649 12.792465576365387 884.7920802829211
16784 1829.2886 2421.562 902.6173938902166 902.1690481314897 3.9388505401762526 884.4889602304501
16788 1798.306 2426.8828 956.8211567595665 954.618001947331 16.494836095347054 885.5359335932268
16790 1595.8521 2422.0151 951.85427239356 951.9129484377547 17.092808632015597 884.8127472841934
16791 1621.4436 2401.9697 1280.8696174248262 1267.586663449692 162.06347321005902 886.0648925501521
16811 1896.6099 2429.052 898.3235226621949 898.443429683924 3.9248106717096904 884.5505330497529
16872 1031.0527 2424.0571 892.9189844852191 892.9132786276311 4.146416968873562 884.8847412058913
16874 964.1187 2411.3003 918.8805735015801 917.3365171674511 10.84608950220387 885.3578538435577
16993 1261.389 2395.5132 1010.4503401173843 1007.8073640941417 38.4653152248044 884.5260774214412
17022 896.2991 2408.4128 893.676379700432 892.9153820955812 5.11689641857702 885.8467069144672
17261 613.6288 2380.7207 906.3396572795231 904.1982504064807 14.61357750653287 884.803324993245
17563 1912.2239 2350.3752 930.6499100387089 917.5855323542995 30.038697807501176 884.4277996863926
17642 1024.7124 2344.7625 909.1454326872039 907.5197642394573 8.243999005361315 884.590540358962
17788 1174.3922 2326.3896 969.2645894802517 958.0496346109938 40.04304594936596 884.6829844949742
17957 1956.0555 2315.4885 902.71800540122 901.9107364580437 5.002187007076026 885.2487167699074
18095 1156.0093 2294.1357 1080.3814672241838 1077.4333098989214 50.33689058142635 884.5295074471571
18152 1551.6842 2297.8535 894.0839354536085 894.2465558185842 3.4898335819132016 884.2464902975601
18405 621.4919 2270.3916 912.4256528607057 912.5942446540997 11.966097455182448 884.1510483177536
18422 1072.8439 2265.8364 912.4957091373972 913.5968496387528 10.650108826419341 884.6169002854863
18466 1503.5931 2266.1174 896.5017076223821 895.0156004653079 7.362420959232357 884.8439204819322
